1	0
0.96044	0.009648
0.920797	0.018773
0.881077	0.0274
0.841286	0.035546
0.801427	0.043223
0.761506	0.050439
0.721525	0.057193
0.681488	0.06348
0.6414	0.06929
0.601263	0.074602
0.561081	0.079391
0.520859	0.083623
0.480601	0.087255
0.440313	0.090235
0.4	0.092497
0.35926	0.093849
0.318502	0.094078
0.277754	0.093064
0.237046	0.09065
0.196419	0.086627
0.155926	0.0807
0.115646	0.0724
0.075706	0.060869
0.036383	0.043984
0	0
0.043617	-0.036384
0.084294	-0.046469
0.124354	-0.052
0.164074	-0.0551
0.203581	-0.056627
0.242954	-0.05705
0.282246	-0.056664
0.321498	-0.055678
0.36074	-0.054249
0.4	-0.052497
0.439687	-0.050413
0.479399	-0.047967
0.519141	-0.045223
0.558919	-0.042235
0.598737	-0.039046
0.6386	-0.03569
0.678512	-0.032191
0.718475	-0.028571
0.758494	-0.024839
0.798573	-0.021001
0.838714	-0.017057
0.878923	-0.013
0.919203	-0.008818
0.95956	-0.004492
1	0
